Sample_No,Date,Sample_Point,Town,Measure,Result,Units
693741,2069-11-29,BL_11064,Blancathey,E. coli,0,Orgs/100mL
619112,2069-11-29,BL_11064,Blancathey,Turbidity,0.1,NTU
685071,2069-12-04,WA_12574,Wakefield,Chlorine Total,1.06,mg/L
605507,2069-12-04,SW_14500,Swadlincote,Chlorine Total,0.21,mg/L
635561,2069-12-04,TA_16763,Tarnstead,Chlorine Total,0.13,mg/L
651384,2069-12-04,SN_16059,Snake's Canyon,Chlorine Total,0.025,mg/L
691837,2069-12-04,ME_19428,Merton,Chlorine Total,0.025,mg/L
686066,2069-12-04,WA_15863,Wakefield,Chlorine Total,0.025,mg/L
661047,2069-12-04,SO_17995,Southwold,Chlorine Total,0.025,mg/L
680736,2069-12-04,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
656971,2069-12-04,TA_16763,Tarnstead,E. coli,0,Orgs/100mL
651511,2069-12-04,ME_19428,Merton,E. coli,0,Orgs/100mL
625783,2069-12-04,WA_15863,Wakefield,E. coli,0,Orgs/100mL
685394,2069-12-04,SW_14500,Swadlincote,E. coli,0,Orgs/100mL
672807,2069-12-04,WA_12574,Wakefield,E. coli,0,Orgs/100mL
695150,2069-12-04,SO_17995,Southwold,E. coli,0,Orgs/100mL
643609,2069-12-04,WA_15863,Wakefield,THM,0.004,mg/L
607016,2069-12-04,SN_16059,Snake's Canyon,Turbidity,0.2,NTU
640872,2069-12-04,ME_19428,Merton,Turbidity,0.2,NTU
693239,2069-12-04,SW_14500,Swadlincote,Turbidity,0.2,NTU
606448,2069-12-04,SO_17995,Southwold,Turbidity,0.2,NTU
679626,2069-12-04,TA_16763,Tarnstead,Turbidity,0.1,NTU
633485,2069-12-04,WA_15863,Wakefield,Turbidity,0.1,NTU
677639,2069-12-06,BL_19383,Blancathey,Chlorine Total,0.82,mg/L
664022,2069-12-06,BL_19383,Blancathey,E. coli,0,Orgs/100mL
616522,2069-12-06,BL_19383,Blancathey,Turbidity,0.1,NTU
630351,2069-12-11,SW_14394,Swadlincote,Chlorine Total,0.72,mg/L
679838,2069-12-11,WA_14286,Wakefield,Chlorine Total,0.58,mg/L
672560,2069-12-11,SO_13001,Southwold,Chlorine Total,0.08,mg/L
676495,2069-12-11,ME_12236,Merton,Chlorine Total,0.025,mg/L
647819,2069-12-11,TA_13630,Tarnstead,Chlorine Total,0.025,mg/L
688311,2069-12-11,SN_15191,Snake's Canyon,Chlorine Total,0.025,mg/L
677754,2069-12-11,SO_13001,Southwold,E. coli,0,Orgs/100mL
669530,2069-12-11,WA_14286,Wakefield,E. coli,0,Orgs/100mL
689397,2069-12-11,ME_12236,Merton,E. coli,0,Orgs/100mL
638155,2069-12-11,SW_14394,Swadlincote,E. coli,0,Orgs/100mL
612463,2069-12-11,TA_13630,Tarnstead,E. coli,0,Orgs/100mL
696865,2069-12-11,SN_15191,Snake's Canyon,E. coli,0,Orgs/100mL
632828,2069-12-11,SW_14394,Swadlincote,THM,0.018,mg/L
641555,2069-12-11,ME_12236,Merton,THM,0.009,mg/L
642651,2069-12-11,TA_13630,Tarnstead,THM,0.007,mg/L
674911,2069-12-11,SN_15191,Snake's Canyon,THM,0.002,mg/L
621555,2069-12-11,WA_14286,Wakefield,Turbidity,0.2,NTU
625592,2069-12-11,SW_14394,Swadlincote,Turbidity,0.2,NTU
620591,2069-12-11,SO_13001,Southwold,Turbidity,0.1,NTU
680425,2069-12-11,ME_12236,Merton,Turbidity,0.1,NTU
679779,2069-12-11,TA_13630,Tarnstead,Turbidity,0.1,NTU
601905,2069-12-11,SN_15191,Snake's Canyon,Turbidity,0.1,NTU
633841,2069-12-13,BL_10901,Blancathey,Chlorine Total,0.66,mg/L
607583,2069-12-13,BL_10901,Blancathey,E. coli,0,Orgs/100mL
630125,2069-12-13,BL_10901,Blancathey,Turbidity,0.2,NTU
678395,2069-12-19,WA_11512,Wakefield,Chlorine Total,1.47,mg/L
623036,2069-12-19,SW_10228,Swadlincote,Chlorine Total,0.53,mg/L
682295,2069-12-19,TA_13119,Tarnstead,Chlorine Total,0.15,mg/L
687032,2069-12-19,ME_16234,Merton,Chlorine Total,0.025,mg/L
690925,2069-12-19,SN_10238,Snake's Canyon,Chlorine Total,0.025,mg/L
628608,2069-12-19,SO_15923,Southwold,Chlorine Total,0.025,mg/L
638429,2069-12-19,ME_16234,Merton,E. coli,0,Orgs/100mL
680582,2069-12-19,TA_13119,Tarnstead,E. coli,0,Orgs/100mL
681094,2069-12-19,SW_10228,Swadlincote,E. coli,0,Orgs/100mL
617149,2069-12-19,WA_11512,Wakefield,E. coli,0,Orgs/100mL
684343,2069-12-19,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
638492,2069-12-19,SO_15923,Southwold,E. coli,0,Orgs/100mL
676357,2069-12-19,SO_15923,Southwold,THM,0.002,mg/L
652729,2069-12-19,TA_13119,Tarnstead,Turbidity,1.97,NTU
613955,2069-12-19,SW_10228,Swadlincote,Turbidity,0.2,NTU
679504,2069-12-19,ME_16234,Merton,Turbidity,0.1,NTU
654073,2069-12-19,WA_11512,Wakefield,Turbidity,0.1,NTU
634811,2069-12-19,SN_10238,Snake's Canyon,Turbidity,0.1,NTU
692937,2069-12-19,SO_15923,Southwold,Turbidity,0.1,NTU
697792,2069-12-20,BL_11246,Blancathey,Chlorine Total,0.18,mg/L
616843,2069-12-20,BL_11246,Blancathey,E. coli,0,Orgs/100mL
640701,2069-12-20,BL_11246,Blancathey,Turbidity,0.2,NTU
659172,2069-12-27,WA_11283,Wakefield,Chlorine Total,0.33,mg/L
655060,2069-12-27,SW_10733,Swadlincote,Chlorine Total,0.28,mg/L
640099,2069-12-27,ME_15385,Merton,Chlorine Total,0.025,mg/L
673050,2069-12-27,TA_18826,Tarnstead,Chlorine Total,0.025,mg/L
631931,2069-12-27,SN_12633,Snake's Canyon,Chlorine Total,0.025,mg/L
627575,2069-12-27,SO_17522,Southwold,Chlorine Total,0.025,mg/L
682845,2069-12-27,ME_15385,Merton,E. coli,0,Orgs/100mL
636290,2069-12-27,TA_18826,Tarnstead,E. coli,0,Orgs/100mL
670420,2069-12-27,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
619888,2069-12-27,SO_17522,Southwold,E. coli,0,Orgs/100mL
672688,2069-12-27,SW_10733,Swadlincote,E. coli,0,Orgs/100mL
683154,2069-12-27,WA_11283,Wakefield,E. coli,0,Orgs/100mL
697707,2069-12-27,SO_17522,Southwold,Turbidity,0.3,NTU
603874,2069-12-27,ME_15385,Merton,Turbidity,0.2,NTU
607972,2069-12-27,SW_10733,Swadlincote,Turbidity,0.2,NTU
601293,2069-12-27,SN_12633,Snake's Canyon,Turbidity,0.1,NTU
692187,2069-12-27,WA_11283,Wakefield,Turbidity,0.1,NTU
613364,2069-12-27,TA_18826,Tarnstead,Turbidity,0.05,NTU
646606,2069-12-29,BL_12796,Blancathey,Chlorine Total,0.36,mg/L
628273,2069-12-29,BL_12796,Blancathey,E. coli,0,Orgs/100mL
639571,2069-12-29,BL_12796,Blancathey,THM,0.003,mg/L
637849,2069-12-29,BL_12796,Blancathey,Turbidity,0.2,NTU
692540,2070-01-02,WA_11471,Wakefield,Chlorine Total,0.42,mg/L
633033,2070-01-02,SW_17048,Swadlincote,Chlorine Total,0.09,mg/L
624941,2070-01-02,SN_19642,Snake's Canyon,Chlorine Total,0.05,mg/L
691275,2070-01-02,SO_16361,Southwold,Chlorine Total,0.025,mg/L
619445,2070-01-02,ME_14915,Merton,Chlorine Total,0.025,mg/L
633768,2070-01-02,TA_16957,Tarnstead,Chlorine Total,0.025,mg/L
630651,2070-01-02,SO_16361,Southwold,E. coli,0,Orgs/100mL
673209,2070-01-02,WA_11471,Wakefield,E. coli,0,Orgs/100mL
674706,2070-01-02,ME_14915,Merton,E. coli,0,Orgs/100mL
638793,2070-01-02,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
678856,2070-01-02,TA_16957,Tarnstead,E. coli,0,Orgs/100mL
672749,2070-01-02,SW_17048,Swadlincote,E. coli,0,Orgs/100mL
641549,2070-01-02,TA_16957,Tarnstead,Turbidity,3.95,NTU
630246,2070-01-02,WA_11471,Wakefield,Turbidity,0.2,NTU
608252,2070-01-02,SW_17048,Swadlincote,Turbidity,0.2,NTU
667953,2070-01-02,SO_16361,Southwold,Turbidity,0.1,NTU
673407,2070-01-02,ME_14915,Merton,Turbidity,0.1,NTU
697356,2070-01-02,SN_19642,Snake's Canyon,Turbidity,0.1,NTU
643484,2070-01-04,BL_10984,Blancathey,Chlorine Total,0.34,mg/L
641069,2070-01-04,BL_10984,Blancathey,E. coli,0,Orgs/100mL
684370,2070-01-04,BL_10984,Blancathey,Turbidity,5.33,NTU
614169,2070-01-08,WA_16411,Wakefield,Chlorine Total,0.83,mg/L
676166,2070-01-08,WA_12344,Wakefield,Chlorine Total,0.4,mg/L
665037,2070-01-08,TA_19639,Tarnstead,Chlorine Total,0.17,mg/L
686117,2070-01-08,SW_15551,Swadlincote,Chlorine Total,0.13,mg/L
632342,2070-01-08,SN_11009,Snake's Canyon,Chlorine Total,0.06,mg/L
677224,2070-01-08,ME_19428,Merton,Chlorine Total,0.06,mg/L
684412,2070-01-08,SO_18289,Southwold,Chlorine Total,0.025,mg/L
626858,2070-01-08,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
605926,2070-01-08,SO_18289,Southwold,E. coli,0,Orgs/100mL
668174,2070-01-08,WA_16411,Wakefield,E. coli,0,Orgs/100mL
627333,2070-01-08,ME_19428,Merton,E. coli,0,Orgs/100mL
684899,2070-01-08,WA_12344,Wakefield,E. coli,0,Orgs/100mL
683699,2070-01-08,SW_15551,Swadlincote,E. coli,0,Orgs/100mL
691031,2070-01-08,TA_19639,Tarnstead,E. coli,0,Orgs/100mL
642024,2070-01-08,TA_19639,Tarnstead,THM,0.035,mg/L
601269,2070-01-08,ME_19428,Merton,THM,0.009,mg/L
631769,2070-01-08,WA_12344,Wakefield,THM,0.003,mg/L
608100,2070-01-08,SO_18289,Southwold,Turbidity,0.3,NTU
628365,2070-01-08,SN_11009,Snake's Canyon,Turbidity,0.2,NTU
660922,2070-01-08,ME_19428,Merton,Turbidity,0.2,NTU
660470,2070-01-08,SW_15551,Swadlincote,Turbidity,0.2,NTU
656734,2070-01-08,TA_19639,Tarnstead,Turbidity,0.2,NTU
680537,2070-01-08,WA_12344,Wakefield,Turbidity,0.1,NTU
607676,2070-01-10,BL_10027,Blancathey,Chlorine Total,0.07,mg/L
652809,2070-01-10,BL_10027,Blancathey,E. coli,0,Orgs/100mL
621931,2070-01-10,BL_10027,Blancathey,Turbidity,0.2,NTU
606166,2070-01-15,SW_14121,Swadlincote,Chlorine Total,0.33,mg/L
699177,2070-01-15,ME_12236,Merton,Chlorine Total,0.09,mg/L
659247,2070-01-15,SO_13252,Southwold,Chlorine Total,0.05,mg/L
689891,2070-01-15,WA_11938,Wakefield,Chlorine Total,0.05,mg/L
655961,2070-01-15,SN_16059,Snake's Canyon,Chlorine Total,0.025,mg/L
664524,2070-01-15,TA_18683,Tarnstead,Chlorine Total,0.025,mg/L
656512,2070-01-15,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
607310,2070-01-15,ME_12236,Merton,E. coli,0,Orgs/100mL
698579,2070-01-15,SO_13252,Southwold,E. coli,0,Orgs/100mL
648264,2070-01-15,TA_18683,Tarnstead,E. coli,0,Orgs/100mL
616773,2070-01-15,SW_14121,Swadlincote,E. coli,0,Orgs/100mL
627899,2070-01-15,WA_11938,Wakefield,E. coli,0,Orgs/100mL
680355,2070-01-15,SW_14121,Swadlincote,THM,0.019,mg/L
667540,2070-01-15,SN_16059,Snake's Canyon,THM,0.005,mg/L
616740,2070-01-15,SO_13252,Southwold,THM,0.004,mg/L
657437,2070-01-15,SN_16059,Snake's Canyon,Turbidity,0.3,NTU
639867,2070-01-15,TA_18683,Tarnstead,Turbidity,0.2,NTU
602953,2070-01-15,SW_14121,Swadlincote,Turbidity,0.2,NTU
633857,2070-01-15,ME_12236,Merton,Turbidity,0.1,NTU
663448,2070-01-15,SO_13252,Southwold,Turbidity,0.1,NTU
603814,2070-01-15,WA_11938,Wakefield,Turbidity,0.1,NTU
641928,2070-01-17,BL_15407,Blancathey,Chlorine Total,0.6,mg/L
624122,2070-01-17,BL_15407,Blancathey,E. coli,0,Orgs/100mL
621186,2070-01-17,BL_15407,Blancathey,Turbidity,0.2,NTU
677507,2070-01-22,WA_13998,Wakefield,Chlorine Total,0.56,mg/L
681794,2070-01-22,TA_18370,Tarnstead,Chlorine Total,0.11,mg/L
634169,2070-01-22,SO_12771,Southwold,Chlorine Total,0.06,mg/L
612543,2070-01-22,ME_16234,Merton,Chlorine Total,0.025,mg/L
626349,2070-01-22,SW_15541,Swadlincote,Chlorine Total,0.025,mg/L
672145,2070-01-22,SN_15191,Snake's Canyon,Chlorine Total,0.025,mg/L
687291,2070-01-22,ME_16234,Merton,E. coli,0,Orgs/100mL
625373,2070-01-22,SW_15541,Swadlincote,E. coli,0,Orgs/100mL
627477,2070-01-22,SO_12771,Southwold,E. coli,0,Orgs/100mL
679335,2070-01-22,TA_18370,Tarnstead,E. coli,0,Orgs/100mL
609404,2070-01-22,WA_13998,Wakefield,E. coli,0,Orgs/100mL
696406,2070-01-22,SN_15191,Snake's Canyon,E. coli,0,Orgs/100mL
676049,2070-01-22,WA_13998,Wakefield,Turbidity,0.3,NTU
606948,2070-01-22,SW_15541,Swadlincote,Turbidity,0.2,NTU
639181,2070-01-22,ME_16234,Merton,Turbidity,0.1,NTU
619058,2070-01-22,SO_12771,Southwold,Turbidity,0.1,NTU
623288,2070-01-22,TA_18370,Tarnstead,Turbidity,0.1,NTU
633025,2070-01-22,SN_15191,Snake's Canyon,Turbidity,0.1,NTU
648393,2070-01-24,BL_15694,Blancathey,Chlorine Total,1.36,mg/L
684554,2070-01-24,BL_15694,Blancathey,E. coli,0,Orgs/100mL
662947,2070-01-24,BL_15694,Blancathey,THM,0.005,mg/L
666504,2070-01-24,BL_15694,Blancathey,Turbidity,0.2,NTU
611690,2070-01-29,WA_17036,Wakefield,Chlorine Total,0.84,mg/L
676857,2070-01-29,TA_15138,Tarnstead,Chlorine Total,0.11,mg/L
625878,2070-01-29,ME_15385,Merton,Chlorine Total,0.1,mg/L
665377,2070-01-29,SO_12411,Southwold,Chlorine Total,0.07,mg/L
620347,2070-01-29,SN_10238,Snake's Canyon,Chlorine Total,0.05,mg/L
660592,2070-01-29,SW_17608,Swadlincote,Chlorine Total,0.025,mg/L
662206,2070-01-29,TA_15138,Tarnstead,E. coli,0,Orgs/100mL
626547,2070-01-29,ME_15385,Merton,E. coli,0,Orgs/100mL
650426,2070-01-29,SO_12411,Southwold,E. coli,0,Orgs/100mL
690337,2070-01-29,SW_17608,Swadlincote,E. coli,0,Orgs/100mL
654559,2070-01-29,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
651653,2070-01-29,WA_17036,Wakefield,E. coli,0,Orgs/100mL
674479,2070-01-29,TA_15138,Tarnstead,Turbidity,8.8,NTU
622397,2070-01-29,ME_15385,Merton,Turbidity,0.2,NTU
692808,2070-01-29,SO_12411,Southwold,Turbidity,0.1,NTU
616028,2070-01-29,SW_17608,Swadlincote,Turbidity,0.1,NTU
652286,2070-01-29,SN_10238,Snake's Canyon,Turbidity,0.1,NTU
651429,2070-01-29,WA_17036,Wakefield,Turbidity,0.1,NTU
664469,2070-01-31,BL_11064,Blancathey,Chlorine Total,0.05,mg/L
657703,2070-01-31,BL_11064,Blancathey,E. coli,0,Orgs/100mL
649115,2070-01-31,BL_11064,Blancathey,Turbidity,0.1,NTU
615715,2070-02-05,SW_14500,Swadlincote,Chlorine Total,0.31,mg/L
674960,2070-02-05,SO_17995,Southwold,Chlorine Total,0.07,mg/L
698531,2070-02-05,TA_16763,Tarnstead,Chlorine Total,0.025,mg/L
662532,2070-02-05,ME_14915,Merton,Chlorine Total,0.025,mg/L
639478,2070-02-05,SN_12633,Snake's Canyon,Chlorine Total,0.025,mg/L
623977,2070-02-05,WA_10539,Wakefield,Chlorine Total,0.025,mg/L
661233,2070-02-05,TA_16763,Tarnstead,E. coli,0,Orgs/100mL
698968,2070-02-05,ME_14915,Merton,E. coli,0,Orgs/100mL
648146,2070-02-05,SW_14500,Swadlincote,E. coli,0,Orgs/100mL
619855,2070-02-05,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
696715,2070-02-05,SO_17995,Southwold,E. coli,0,Orgs/100mL
612425,2070-02-05,WA_10539,Wakefield,E. coli,0,Orgs/100mL
658882,2070-02-05,WA_10539,Wakefield,THM,0.003,mg/L
689960,2070-02-05,WA_10539,Wakefield,Turbidity,0.2,NTU
618793,2070-02-05,TA_16763,Tarnstead,Turbidity,0.1,NTU
657569,2070-02-05,ME_14915,Merton,Turbidity,0.1,NTU
638039,2070-02-05,SW_14500,Swadlincote,Turbidity,0.1,NTU
669563,2070-02-05,SN_12633,Snake's Canyon,Turbidity,0.1,NTU
641541,2070-02-05,SO_17995,Southwold,Turbidity,0.1,NTU
658029,2070-02-07,BL_19383,Blancathey,Chlorine Total,0.78,mg/L
602660,2070-02-07,BL_19383,Blancathey,E. coli,0,Orgs/100mL
664756,2070-02-07,BL_19383,Blancathey,Turbidity,0.05,NTU
617611,2070-02-12,ME_19428,Merton,Chlorine Total,0.53,mg/L
669663,2070-02-12,WA_19229,Wakefield,Chlorine Total,0.46,mg/L
651200,2070-02-12,SW_10228,Swadlincote,Chlorine Total,0.43,mg/L
653183,2070-02-12,WA_16258,Wakefield,Chlorine Total,0.11,mg/L
602436,2070-02-12,TA_13119,Tarnstead,Chlorine Total,0.05,mg/L
649348,2070-02-12,SO_13001,Southwold,Chlorine Total,0.025,mg/L
669978,2070-02-12,SN_19642,Snake's Canyon,Chlorine Total,0.025,mg/L
663835,2070-02-12,SO_13001,Southwold,E. coli,0,Orgs/100mL
685093,2070-02-12,TA_13119,Tarnstead,E. coli,0,Orgs/100mL
665396,2070-02-12,SW_10228,Swadlincote,E. coli,0,Orgs/100mL
604287,2070-02-12,ME_19428,Merton,E. coli,0,Orgs/100mL
677354,2070-02-12,SN_19642,Snake's Canyon,E. coli,0,Orgs/100mL
600539,2070-02-12,WA_19229,Wakefield,E. coli,0,Orgs/100mL
601424,2070-02-12,WA_16258,Wakefield,E. coli,0,Orgs/100mL
674030,2070-02-12,SW_10228,Swadlincote,THM,0.026,mg/L
601583,2070-02-12,TA_13119,Tarnstead,THM,0.003,mg/L
627847,2070-02-12,SN_19642,Snake's Canyon,THM,0.003,mg/L
606983,2070-02-12,TA_13119,Tarnstead,Turbidity,0.3,NTU
615594,2070-02-12,SO_13001,Southwold,Turbidity,0.1,NTU
626182,2070-02-12,SW_10228,Swadlincote,Turbidity,0.1,NTU
616229,2070-02-12,ME_19428,Merton,Turbidity,0.1,NTU
688439,2070-02-12,SN_19642,Snake's Canyon,Turbidity,0.1,NTU
617343,2070-02-12,WA_16258,Wakefield,Turbidity,0.1,NTU
601143,2070-02-15,BL_10901,Blancathey,Chlorine Total,0.31,mg/L
602432,2070-02-15,BL_10901,Blancathey,E. coli,0,Orgs/100mL
645361,2070-02-15,BL_10901,Blancathey,Turbidity,0.1,NTU
691387,2070-02-19,SW_14394,Swadlincote,Chlorine Total,0.59,mg/L
610931,2070-02-19,WA_15863,Wakefield,Chlorine Total,0.14,mg/L
610982,2070-02-19,TA_13630,Tarnstead,Chlorine Total,0.13,mg/L
615893,2070-02-19,SN_11009,Snake's Canyon,Chlorine Total,0.08,mg/L
697460,2070-02-19,ME_12236,Merton,Chlorine Total,0.06,mg/L
631997,2070-02-19,SO_15923,Southwold,Chlorine Total,0.025,mg/L
631268,2070-02-19,SN_11009,Snake's Canyon,E. coli,0,Orgs/100mL
607294,2070-02-19,WA_15863,Wakefield,E. coli,0,Orgs/100mL
601053,2070-02-19,ME_12236,Merton,E. coli,0,Orgs/100mL
619563,2070-02-19,SO_15923,Southwold,E. coli,0,Orgs/100mL
623875,2070-02-19,SW_14394,Swadlincote,E. coli,0,Orgs/100mL
695834,2070-02-19,TA_13630,Tarnstead,E. coli,0,Orgs/100mL
629757,2070-02-19,ME_12236,Merton,THM,0.029,mg/L
694760,2070-02-19,SN_11009,Snake's Canyon,Turbidity,0.1,NTU
689156,2070-02-19,ME_12236,Merton,Turbidity,0.1,NTU
665397,2070-02-19,SO_15923,Southwold,Turbidity,0.1,NTU
657506,2070-02-19,SW_14394,Swadlincote,Turbidity,0.1,NTU
675059,2070-02-19,TA_13630,Tarnstead,Turbidity,0.1,NTU
639007,2070-02-19,WA_15863,Wakefield,Turbidity,0.05,NTU
685449,2070-02-21,BL_11246,Blancathey,Chlorine Total,0.19,mg/L
613683,2070-02-21,BL_11246,Blancathey,E. coli,0,Orgs/100mL
674337,2070-02-21,BL_11246,Blancathey,THM,0.002,mg/L
608270,2070-02-21,BL_11246,Blancathey,Turbidity,0.05,NTU
630943,2070-02-26,WA_12574,Wakefield,Chlorine Total,1.03,mg/L
693343,2070-02-26,SW_10733,Swadlincote,Chlorine Total,0.5,mg/L
667991,2070-02-26,SO_17522,Southwold,Chlorine Total,0.05,mg/L
632993,2070-02-26,ME_16234,Merton,Chlorine Total,0.025,mg/L
635095,2070-02-26,SN_16059,Snake's Canyon,Chlorine Total,0.025,mg/L
616102,2070-02-26,TA_18826,Tarnstead,Chlorine Total,0.025,mg/L
618483,2070-02-26,ME_16234,Merton,E. coli,0,Orgs/100mL
685705,2070-02-26,SN_16059,Snake's Canyon,E. coli,0,Orgs/100mL
648796,2070-02-26,TA_18826,Tarnstead,E. coli,0,Orgs/100mL
680196,2070-02-26,WA_12574,Wakefield,E. coli,0,Orgs/100mL
679937,2070-02-26,SO_17522,Southwold,E. coli,0,Orgs/100mL
622826,2070-02-26,SW_10733,Swadlincote,E. coli,0,Orgs/100mL
641379,2070-02-26,SO_17522,Southwold,THM,0.001,mg/L
607376,2070-02-26,WA_12574,Wakefield,Turbidity,0.8,NTU
653773,2070-02-26,ME_16234,Merton,Turbidity,0.4,NTU
628893,2070-02-26,SW_10733,Swadlincote,Turbidity,0.3,NTU
698013,2070-02-26,TA_18826,Tarnstead,Turbidity,0.2,NTU
627761,2070-02-26,SN_16059,Snake's Canyon,Turbidity,0.05,NTU
642429,2070-02-26,SO_17522,Southwold,Turbidity,0.05,NTU
610213,2070-02-28,BL_12796,Blancathey,Chlorine Total,0.42,mg/L
600302,2070-02-28,BL_12796,Blancathey,E. coli,0,Orgs/100mL
624067,2070-02-28,BL_12796,Blancathey,Turbidity,7.93,NTU
636825,2070-03-05,SW_17048,Swadlincote,Chlorine Total,0.34,mg/L
632687,2070-03-05,WA_14286,Wakefield,Chlorine Total,0.08,mg/L
663283,2070-03-05,ME_15385,Merton,Chlorine Total,0.06,mg/L
627189,2070-03-05,SO_16361,Southwold,Chlorine Total,0.025,mg/L
670947,2070-03-05,SN_15191,Snake's Canyon,Chlorine Total,0.025,mg/L
682247,2070-03-05,TA_16957,Tarnstead,Chlorine Total,0.025,mg/L
666186,2070-03-05,SO_16361,Southwold,E. coli,0,Orgs/100mL
671745,2070-03-05,WA_14286,Wakefield,E. coli,0,Orgs/100mL
617498,2070-03-05,ME_15385,Merton,E. coli,0,Orgs/100mL
658087,2070-03-05,SN_15191,Snake's Canyon,E. coli,0,Orgs/100mL
651564,2070-03-05,TA_16957,Tarnstead,E. coli,0,Orgs/100mL
679242,2070-03-05,SW_17048,Swadlincote,E. coli,0,Orgs/100mL
698307,2070-03-05,SO_16361,Southwold,Turbidity,0.5,NTU
677619,2070-03-05,ME_15385,Merton,Turbidity,0.2,NTU
689425,2070-03-05,WA_14286,Wakefield,Turbidity,0.1,NTU
648192,2070-03-05,SN_15191,Snake's Canyon,Turbidity,0.1,NTU
657969,2070-03-05,TA_16957,Tarnstead,Turbidity,0.1,NTU
680284,2070-03-05,SW_17048,Swadlincote,Turbidity,0.1,NTU
635498,2070-03-07,BL_10984,Blancathey,Chlorine Total,0.025,mg/L
631356,2070-03-07,BL_10984,Blancathey,E. coli,0,Orgs/100mL
650743,2070-03-07,BL_10984,Blancathey,Turbidity,4.18,NTU
613851,2070-03-13,WA_11512,Wakefield,Chlorine Total,1,mg/L
631576,2070-03-13,WA_11283,Wakefield,Chlorine Total,0.61,mg/L
684577,2070-03-13,SW_15551,Swadlincote,Chlorine Total,0.07,mg/L
627787,2070-03-13,SO_18289,Southwold,Chlorine Total,0.06,mg/L
634342,2070-03-13,ME_14915,Merton,Chlorine Total,0.025,mg/L
677653,2070-03-13,SN_10238,Snake's Canyon,Chlorine Total,0.025,mg/L
658561,2070-03-13,TA_19639,Tarnstead,Chlorine Total,0.025,mg/L
655614,2070-03-13,SO_18289,Southwold,E. coli,0,Orgs/100mL
606200,2070-03-13,ME_14915,Merton,E. coli,0,Orgs/100mL
608727,2070-03-13,WA_11512,Wakefield,E. coli,0,Orgs/100mL
666571,2070-03-13,SN_10238,Snake's Canyon,E. coli,0,Orgs/100mL
662649,2070-03-13,SW_15551,Swadlincote,E. coli,0,Orgs/100mL
620387,2070-03-13,WA_11283,Wakefield,E. coli,0,Orgs/100mL
620043,2070-03-13,TA_19639,Tarnstead,E. coli,0,Orgs/100mL
640168,2070-03-13,WA_11512,Wakefield,THM,0.002,mg/L
606507,2070-03-13,SW_15551,Swadlincote,Turbidity,0.2,NTU
697727,2070-03-13,TA_19639,Tarnstead,Turbidity,0.1,NTU
600211,2070-03-13,SO_18289,Southwold,Turbidity,0.05,NTU
605647,2070-03-13,ME_14915,Merton,Turbidity,0.05,NTU
603240,2070-03-13,WA_11512,Wakefield,Turbidity,0.05,NTU
686956,2070-03-13,SN_10238,Snake's Canyon,Turbidity,0.05,NTU
667570,2070-03-15,BL_10027,Blancathey,Chlorine Total,0.025,mg/L
635664,2070-03-15,BL_10027,Blancathey,E. coli,0,Orgs/100mL
668555,2070-03-15,BL_10027,Blancathey,Turbidity,0.2,NTU
602079,2070-03-19,WA_11471,Wakefield,Chlorine Total,0.58,mg/L
683017,2070-03-19,TA_18683,Tarnstead,Chlorine Total,0.38,mg/L
645207,2070-03-19,SW_14121,Swadlincote,Chlorine Total,0.2,mg/L
613977,2070-03-19,ME_19428,Merton,Chlorine Total,0.11,mg/L
654730,2070-03-19,SN_12633,Snake's Canyon,Chlorine Total,0.025,mg/L
667201,2070-03-19,SO_13252,Southwold,Chlorine Total,0.025,mg/L
696341,2070-03-19,WA_11471,Wakefield,E. coli,0,Orgs/100mL
615341,2070-03-19,ME_19428,Merton,E. coli,0,Orgs/100mL
689627,2070-03-19,SN_12633,Snake's Canyon,E. coli,0,Orgs/100mL
620891,2070-03-19,SO_13252,Southwold,E. coli,0,Orgs/100mL
648407,2070-03-19,TA_18683,Tarnstead,E. coli,0,Orgs/100mL
606403,2070-03-19,SW_14121,Swadlincote,E. coli,0,Orgs/100mL
610529,2070-03-19,SW_14121,Swadlincote,THM,0.017,mg/L
627936,2070-03-19,ME_19428,Merton,THM,0.016,mg/L
682867,2070-03-19,SN_12633,Snake's Canyon,THM,0.002,mg/L
626130,2070-03-19,TA_18683,Tarnstead,THM,0.002,mg/L
664477,2070-03-19,ME_19428,Merton,Turbidity,0.1,NTU
619080,2070-03-19,WA_11471,Wakefield,Turbidity,0.05,NTU
608224,2070-03-19,SN_12633,Snake's Canyon,Turbidity,0.05,NTU
694736,2070-03-19,SO_13252,Southwold,Turbidity,0.05,NTU
696914,2070-03-19,TA_18683,Tarnstead,Turbidity,0.05,NTU
697005,2070-03-19,SW_14121,Swadlincote,Turbidity,0.05,NTU
625289,2070-03-21,BL_15407,Blancathey,Chlorine Total,0.025,mg/L
